Date,Open,High,Low,Close,Adj Close,Volume,Daily_Return,SMA_50,Standard_Deviation,Upper_Band,Lower_Band,EMA_12,EMA_26,MACD_Signal_Line,VWAP,ROC
2010-03-16,4.287499904632568,4.465000152587891,4.284999847412109,4.440000057220459,4.0730133056640625,66498800,3.4965057506117114,4.264399981498718,0.19829475450063527,4.660989490499988,3.8678104724974474,4.294920182142107,4.260514839125863,0.034405343016244316,4.258659009971698,7.3111845776507645
2010-03-17,4.465000152587891,4.585000038146973,4.465000152587891,4.525000095367432,4.1509857177734375,65116800,1.914415248908452,4.262449984550476,0.19515594947375017,4.652761883497976,3.8721380856029755,4.33031709186908,4.280106339588201,0.050210752280879234,4.263935560022541,10.36585855171992
2010-03-18,4.53249979019165,4.53249979019165,4.324999809265137,4.364999771118164,4.004211902618408,74096400,-3.535918693417739,4.25594997882843,0.18581377974981275,4.6275775383280555,3.8843224193288046,4.335652888676632,4.286394741923754,0.04925814675287832,4.266163644594617,7.7777670505774665
2010-03-19,4.429999828338623,4.442500114440918,4.257500171661377,4.3125,3.9560508728027344,58461200,-1.2027439603900736,4.247799983024597,0.17357853203505724,4.594957047094712,3.9006429189544827,4.332090905803304,4.288328464744216,0.043762441059088,4.266955849459419,2.373884922698055
2010-03-22,4.257500171661377,4.400000095367432,4.257500171661377,4.382500171661377,4.020266056060791,43533600,1.6231923863507802,4.242899985313415,0.1659307285995185,4.574761442512452,3.9110385281143785,4.339846177473777,4.29530414673808,0.044542030735696514,4.268408385344425,4.097390307633586
2010-03-23,4.414999961853027,4.494999885559082,4.385000228881836,4.472499847412109,4.102828025817871,49361200,2.0536148824978673,4.239599986076355,0.15943650158525888,4.558472989246873,3.9207269829058373,4.360254434387366,4.308429754195416,0.051824680191950634,4.271276638357658,7.576670429752164
2010-03-24,4.434999942779541,4.447500228881836,4.315000057220459,4.322500228881836,3.9652256965637207,43625200,-3.3538205399172183,4.234599986076355,0.15255509425984146,4.5397101745960375,3.929489797556672,4.354446095078823,4.309472011579595,0.04497408349922871,4.271905063230104,3.7815190509326246
2010-03-25,4.385000228881836,4.412499904632568,4.324999809265137,4.335000038146973,3.9766926765441895,49518400,0.2891800717930826,4.232949986457824,0.15097448128031846,4.534898949018461,3.9310010238971875,4.351454394012385,4.3113629765105115,0.040091417501873394,4.272771628389282,0.9900994498460047
2010-03-26,4.372499942779541,4.417500019073486,4.300000190734863,4.335000038146973,3.9766926765441895,34467600,0.0,4.230099987983704,0.14757044695524993,4.525240881894204,3.934959094073204,4.348922954648476,4.313113869965064,0.03580908468341182,4.273360889156148,2.482269943263149
2010-03-29,4.362500190734863,4.400000095367432,4.302499771118164,4.389999866485596,4.027145862579346,39445600,1.268738820176174,4.229749989509583,0.14716129983512027,4.5240725891798235,3.935427389839342,4.355242479546494,4.318809128966585,0.03643335057990882,4.274611346692273,0.05698136362717321
